creator,base_model_count,total_derivatives,avg_downloads
IQuestLab,8,29,2433.5
occiglot,8,21,255.75
openaccess-ai-collective,8,23,1501.25
mesolitica,8,11,24.0
brucethemoose,8,31,507.75
braindao,8,15,2.875
crestf411,8,44,5.25
DeepMount00,8,16,1107.75
acrastt,8,13,613.375
eren23,8,50,115.25
l3utterfly,8,51,389.0
minpeter,8,9,2.625
apple,8,79,203188.75
elyza,8,86,2440.125
geodesic-research,8,9,56.25
heegyu,8,29,306.75
bunnycore,8,12,38.75
lmsys,8,138,359727.0
DiscoResearch,8,46,775.0
mncai,7,12,435.0
AI-Sweden-Models,7,17,19232.0
LumiOpen,7,41,1234.857142857143
LGAI-EXAONE,7,175,78831.28571428571
tinycompany,7,17,1.7142857142857142
MarinaraSpaghetti,7,66,58.857142857142854
THU-KEG,7,9,7.285714285714286
prithivMLmods,7,20,4.285714285714286
nothingiisreal,7,63,94.42857142857143
qingy2024,7,16,6.0
pfnet,7,19,11022.857142857143
Grogros,7,17,1.5714285714285714
RWKV,7,12,2128.0
priyanshi27dixit,7,7,0.42857142857142855
spow12,7,10,3.4285714285714284
AgentPublic,7,11,6.714285714285714
schnapper79,7,24,9.285714285714286
FourOhFour,7,21,2.5714285714285716
TomGrc,7,11,783.8571428571429
Azure99,7,12,1600.2857142857142
moonshotai,7,96,53375.142857142855
appvoid,7,169,116.0
anthracite-org,7,155,407.7142857142857
knowledgator,7,7,20.0
kingbri,7,19,228.85714285714286
BruhzWater,7,18,23.428571428571427
ai21labs,7,40,3525.5714285714284
lightblue,7,18,362.85714285714283
ByteDance-Seed,7,85,8719.714285714286
Efficient-Large-Model,7,7,874.0
adamo1139,7,13,543.4285714285714
Xenon1,7,8,111.57142857142857
adalbertojunior,7,8,5.428571428571429
BeaverLegacy,7,20,30.857142857142858
lmms-lab,7,15,22239.0
TurkuNLP,7,8,494.85714285714283
minchyeom,7,19,1.8571428571428572
alpindale,7,38,1943.857142857143
kevin009,7,9,236.28571428571428
CalderaAI,7,21,717.2857142857143
Elizezen,7,28,3.0
Dorian2B,7,11,1.5714285714285714
bartowski,7,8,19.142857142857142
Corianas,7,13,138.0
ContextualAI,7,13,3857.5714285714284
defog,7,98,11661.714285714286
zhuojing-huang,7,7,0.7142857142857143
ymoslem,7,7,0.5714285714285714
yujiepan,7,7,676.1428571428571
4yo1,6,6,5.5
ys-zong,6,6,48.166666666666664
zarakiquemparte,6,12,534.5
hdong0,6,7,0.5
baidu,6,91,13950.166666666666
ChiKoi7,6,12,2.6666666666666665
gradientai,6,43,1823.5
bofenghuang,6,23,727.3333333333334
freewheelin,6,9,7153.333333333333
cyberagent,6,23,1418.6666666666667
ddh0,6,18,2.3333333333333335
Erland,6,18,1.5
EpistemeAI,6,9,2.6666666666666665
lodrick-the-lafted,6,28,28.5
Edgerunners,6,18,7.5
memevis,6,13,0.6666666666666666
meituan-longcat,6,35,6028.333333333333
llm-agents,6,19,833.3333333333334
BarryFutureman,6,13,295.8333333333333
jphme,6,26,1573.6666666666667
autoprogrammer,6,71,2.6666666666666665
baichuan-inc,6,8,64809.333333333336
invisietch,6,40,9.833333333333334
TheBlueObserver,6,16,1.8333333333333333
TheDrummer,6,64,54.0
Finnish-NLP,6,17,43.0
Treza12,6,6,0.16666666666666666
Guilherme34,6,12,2.8333333333333335
SeaLLMs,6,22,4579.333333333333
ArianAskari,6,6,111.5
Open-Orca,6,70,1453.8333333333333
skt,6,73,118186.0
Nitral-AI,6,87,74.33333333333333
Norquinal,6,10,128.66666666666666
speakleash,6,30,17812.333333333332
0-hero,6,6,95.83333333333333
totally-not-an-llm,6,12,792.5
togethercomputer,6,20,2753.0
utter-project,6,17,3429.6666666666665
upstage,6,75,11116.166666666666
LyraNovaHeart,6,18,6.166666666666667
HiTZ,6,39,231.33333333333334
MrezaPRZ,6,13,1.5
TechxGenus,6,13,24.166666666666668
SvalTek,6,17,1.5
SmallDoge,6,14,223.16666666666666
SakanaAI,6,16,24.0
Panchovix,6,6,129.16666666666666
AngelRaychev,6,38,0.5
openerotica,6,14,4.166666666666667
p-e-w,6,23,1571.6666666666667
BEE-spoke-data,6,17,1169.5
jinaai,5,52,3021.8
cloudyu,5,11,2112.2
cepiloth,5,5,2.2
eternisai,5,6,56.8
0x7o,5,5,3.8
flozi00,5,7,4.0
gemmathon,5,5,67.8
VIRNECT,5,5,8.4
meta-math,5,42,1795.0
Writer,5,14,255.6
Unbabel,5,11,606.4
liuhaotian,5,17,154818.2
Chat-Error,5,14,3.0
DrNicefellow,5,5,31.8
openai-community,5,1998,2836288.8
pythainlp,5,6,15.8
rinna,5,12,105793.2
RESMPDEV,5,5,3.8
openthaigpt,5,38,1324.4
SicariusSicariiStuff,5,26,527.4
Aryanne,5,8,11.2
sapienzanlp,5,57,2046.4
OpenAssistant,5,31,1225.4
LeonGuertler,5,5,0.0
LLM4Binary,5,10,745.0
unionai,5,5,5.4
MediaTek-Research,5,39,246.2
MiniLLM,5,6,20.4
state-spaces,5,31,39422.8
wang7776,5,5,598.0
willcb,5,14,803.6
stepfun-ai,5,32,25740.0
Murasaki-Project,5,6,62.4
Agnuxo,5,8,3.0
Hastagaras,5,64,5.8
royallab,5,17,2636.0
sambanovasystems,5,9,116.0
nsfwthrowitaway69,5,10,20.6
OrionStarAI,5,9,1980.8
TencentARC,5,9,465.8
openlm-research,5,82,11202.6
openchat,5,51,1768.8
gizmo-ai,5,8,2.2
lilmeaty,5,17,3.4
lightonai,5,14,103733.8
ai-forever,5,41,17976.4
Envoid,5,5,4.8
martyn,5,7,828.6
WebraftAI,5,5,753.6
ValiantLabs,5,14,3474.8
lcw99,5,20,6.8
Yhyu13,5,12,166.2
Blackroot,5,10,1.6
Xwin-LM,5,11,408.0
YashRawal225,5,5,1.6
instruction-pretrain,5,41,2787.6
ilsp,5,19,213.6
CausalLM,5,12,2421.4
aryolotfi,5,5,1.4
Deci,5,22,1528.2
hyokwan,5,9,6.4
habanoz,5,6,805.8
ethzanalytics,5,7,7.0
yentinglin,5,8,76.6
wisenut-nlp-team,5,6,4.0
elinas,5,12,695.0
Danielbrdz,5,15,3076.6
Jackrong,5,19,1148.8
Jeeeeeeeeeeeeeeez,5,5,0.8
IkariDev,5,12,693.8
yifanxie,5,5,1.6
Kwaipilot,5,34,39.4
vanillaOVO,5,23,102.2
sophosympatheia,5,47,316.4
sarvamai,5,24,10728.4
nilq,5,8,44.4
Trendyol,5,50,231.6
FlareRebellion,5,22,37.4
meetkai,5,7,31.2
Severian,5,9,328.0
Sharathhebbar24,5,6,272.4
TheBloke,5,27,1330.6
XiaomiMiMo,4,11,123423.25
luaqi,4,8,1.25
YeungNLP,4,8,801.0
BlinkDL,4,49,0.0
XGenerationLab,4,4,39.25
ambrosfitz,4,4,5.75
arnavgrg,4,4,17.0
Dream-org,4,11,26801.75
axolotl-ai-co,4,7,2682.0
ibm-research,4,9,128189.25
ifuseok,4,4,7.75
kimwooglae,4,5,377.25
Cartinoe5930,4,4,194.5
allstax,4,6,1.25
Endevor,4,41,9.5
kshitijthakkar,4,6,10.25
konvolution,4,4,0.75
CYFRAGOVPL,4,9,1244.5
